番号,12,
名前,히카미 메루루,
呼び名,메루루,
基礎,체력,1600
基礎,기력,1800

基礎,정력,10000

基礎,무드,1000
基礎,이성,1000
基礎,분노,800
基礎,일량,1000
基礎,심도,2000
基礎,술기운,2200

基礎,신장,1580
基礎,체중,480


素質,성별,1
素質,키스미경험,0



;성격
素質,태도,-1;솔직함
素質,응답,-1;얌전함


;성에의 관심


;아가씨의 마음
素質,수치심,1;부끄러워한다

;체질
素質,통각,-1;고통에 강하다

;기술
素質,벌채Lv,0
素質,낚시Lv,0
素質,채집Lv,2
素質,조제Lv,5
素質,조합지식,1;
素質,약독내성,1;

;결벽도
素質,헌신적,1;

;정직도


;성애성


;매료


;몸 특징 -> 진짜 모르겠으니 뇌피셜로 만들어야 하네 이걸
;메 루 루 는 데 카 파 이 야 알 겠 지 ?
素質,M감도,-1;둔감
素質,A감도,-1;둔감
素質,술내성,1;술에 강함
素質,가슴사이즈,1; 거유


;특수
素質,회복속도,1;회복뻐름
素質,치료,1;
素質,금단의지식,1;

; 마노사바 전용 특성들
素質,마녀인자,1;
素質,마녀후보,1;
素質,마녀,1;마녀

;마법
素質,치유,1;



能力,C감각,1
能力,순종,1
能力,봉사정신,1
能力,레즈끼,1

能力,청소기능,3
能力,화술기능,1
能力,전투능력,0
能力,교양,3
能力,요리기능,4
能力,음악기능,0
能力,채집기능,2
能力,낚시기능,0
能力,조제기능,5
能力,공작기능,0


経験,C경험,15
経験,절정경험,10
経験,자위경험,20
経験,키스경험,3




;   フラグ,기본복장세트,129;복장

フラグ,초기위치,1
フラグ,신사거주,1
フラグ,자택위치,1

;   フラグ,고유커맨드,1

フラグ,귀가시간,1260;21시
フラグ,취침시간,1320;22시
フラグ,기상시간,360;6시

; 히로의 지위 400을 기준으로 본다.
フラグ,지위,400;지위

フラグ,이동율보정,0
フラグ,이동절도,0

フラグ,어조,1
; 수박깨기 말고는 어조 쓰는 파일 없는 것 같긴 한데 흠...
; 1 : ～です系 / 2 : ～だよ系 / 3 : ～だぞ系 / 4 : ～のじゃ系 / 5 : 無口系 / 그 이외 : ～のよ系

フラグ,성격경향,1 ;심약계
; 1 : 심약계 / 2 : 강경계 / 3 : 솔직함계 / 4 : 진지함계 / 그 이외 : 그 외
;심약계: ~에게 사과하면서도 격렬하게 / 미안해요와 몇 번이나 말하면서 / 입술을 거듭한 ~가, 흠칫흠칫 ~의 입술을 비집고 혀를 넣어 왔다
;강경계: ~의 엉덩이를 잡아 격렬하게 / 나는 기분이 좋다고 웃으면서 / 억지로 입술을 포개어 오는 ~의 혀가, ~의 입안을 유린한다
;솔직함계: 기분 좋다고 소리를 높이면서 / 함께 기분 좋아지자고 해 / 넋을 잃고 있는 ~은 ~의 구강에 혀를 내밀어 왔다
;진지함계: ~를 신경쓰면서도 격렬하게 / 이를 악물면서도 / ~은 입술을 겹친 채, 혀를 천천히 입안에 침입시켜 왔다
;그 외: 쾌감을 탐내는 듯 격렬하게 / 입가에 미소를 띠며 / ~는 ~에게 끈적끈적하고 농후한 키스를 했다……





相性,1,110;에마
相性,9,110;셰리
相性,10,110;한나


;   CSTR,일정보,기사 집필　금요일　13시～19시
;   CSTR,직장,구천의폭포
;   CSTR,10,～전통의 환상 신문쟁이～　●종족：까마귀 텐구　●능력：바람을 조종하는 정도의 능력




